,Frame#,Time,AlejandroMask:HeadTopX7,AlejandroMask:HeadTopY7,AlejandroMask:HeadTopZ7,AlejandroMask:HeadFrontX5,AlejandroMask:HeadFrontY5,AlejandroMask:HeadFrontZ5,HeadFront5MAG,AlejandroMask:LP1X46,LHandMaxPosY,LHandPosXMean,LHandPosYMean,LHandPosZMean,RHandPosXMean,RHandPosYMean,RHandPosZMean,BothHandMaxPosY,LHandVelocity,RHandVelocity,HeadMaxPosY,HeadVelocity,HeadPosXMean,HeadPosYMean,DistanceChestToLeftArm,DistanceChestToRightArm,DistanceChestToArmsMax,ShoulderVelocity
14,18,0.15,0.189343,1.71629,0.335819,0.14387,1.73088,0.481504,0.000184426136976,0.329929,0.783127,0.7325099,0.721599,0.6081057,-0.0752692,0.7325099,0.5213007,0.796676,0.000597580120151,0.000152803795764,1.73088,0.000184426136976,0.1327194,1.1329506,0.827635695112,0.581050749499,0.827635695112,0.00011541230437
15,19,0.158333,0.189349,1.71631,0.336001,0.143843,1.73084,0.481682,0.000182803172839,0.330183,0.782922,0.7325216,0.7214209,0.6078441,-0.07519,0.7325216,0.5214038,0.796707,0.000623333778966,0.000176957622045,1.73084,0.000183689956176,0.1327052,1.1329506,0.827738757388,0.580973213872,0.827738757388,0.000111933015683
16,20,0.166667,0.18934,1.71634,0.336182,0.143827,1.73082,0.481863,0.000184081503688,0.330639,0.782681,0.7325318,0.7212366,0.6075582,-0.0750807,0.7325318,0.5215158,0.796737,0.000649687617244,0.000187085541932,1.73082,0.00019611476232,0.1326952,1.132953,0.827841529103,0.580899735497,0.827841529103,0.000119749739039
17,21,0.175,0.189334,1.71636,0.336377,0.143812,1.73079,0.482044,0.000201087045828,0.331136,0.782459,0.7325451,0.7210626,0.60728,-0.0749609,0.7325451,0.5216302,0.796759,0.000652467623718,0.000210347331811,1.73079,0.000201087045828,0.1326828,1.132955,0.827937221819,0.580808716163,0.827937221819,0.000115416636582
18,22,0.183333,0.18932,1.71638,0.336564,0.143806,1.73077,0.482244,0.00019834565788,0.331654,0.782223,0.7325489,0.7208744,0.6070208,-0.074812,0.7325489,0.5217473,0.796772,0.000669994776099,0.00022118092142,1.73077,0.00019834565788,0.13267,1.1329564,0.828031690296,0.580719139855,0.828031690296,0.000122902400302
19,23,0.191667,0.189309,1.7164,0.336756,0.143801,1.73074,0.48244,0.000202593188434,0.332004,0.781959,0.7325604,0.7206914,0.606739,-0.0746613,0.7325604,0.5218671,0.796778,0.000718215844994,0.000281943256702,1.73074,0.000202593188434,0.1326542,1.132958,0.828136905225,0.580629419671,0.828136905225,0.000120332871652
20,24,0.2,0.189288,1.71641,0.336937,0.143813,1.73071,0.48264,0.000185216090014,0.332602,0.781711,0.7325572,0.7204887,0.6064457,-0.0744765,0.7325572,0.5219805,0.796797,0.00068242875086,0.000230425693012,1.73071,0.000185216090014,0.1326426,1.132954,0.828225608911,0.580525563424,0.828225608911,0.000134476763792
21,25,0.208333,0.189267,1.71641,0.337117,0.143809,1.73063,0.482807,0.00018557478277,0.333114,0.78146,0.7325612,0.7202997,0.6061772,-0.0742954,0.7325612,0.5221015,0.796827,0.000703228270194,0.000304470031366,1.73063,0.00019638228026,0.132625,1.1329374,0.828317382124,0.580426254143,0.828317382124,0.000130076900332
22,26,0.216667,0.189234,1.71643,0.337292,0.143816,1.7306,0.48299,0.000188308257918,0.333648,0.781228,0.7325681,0.7201191,0.6059063,-0.0740878,0.7325681,0.5222377,0.796862,0.000784223182519,0.00027677788929,1.7306,0.00018906083677,0.1326098,1.1329362,0.828402576734,0.580316158273,0.828402576734,0.000147722713216
23,27,0.225,0.18921,1.71645,0.337473,0.143814,1.73056,0.483174,0.00019765879692,0.334101,0.780981,0.7325772,0.7199263,0.6056388,-0.0738795,0.7325772,0.5223686,0.796901,0.000683581012024,0.000287562167192,1.73056,0.000206177108332,0.1325972,1.1329326,0.828503483348,0.580201486003,0.828503483348,0.000148404851673
